店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
全席個室 最大150種類食べ飲み放題 和楽居（わらい） 天神店,050-5487-9614,,福岡県,福岡市中央区天神,2-7-6,DADAビルB1,,
炙り炉端 山尾 天神店,050-5484-3046,,福岡県,福岡市中央区天神,1-15-14,高木ビル2・3F,,
居酒屋 ひなた 今泉,050-5487-9468,,福岡県,福岡市中央区今泉,2-3-31,1F,,
隠れ家個室居酒屋 よってけ屋 福岡天神店,050-5484-1237,,福岡県,福岡市中央区大名,2-1-4,6F,,
海鮮居酒屋 博多 海亭,050-5488-7758,,福岡県,福岡市博多区中洲,4-7-2,黄昏ビル1F,,
博多魚がし海の路 天神店,050-5484-2038,,福岡県,福岡市中央区天神,1-12-3,天神町木村家ビルB1,,
個室 居酒屋まつり 春吉,050-5487-9193,,福岡県,福岡市中央区春吉,3-25-3,1F,,
活うお居酒屋 ふじけん 大名店,050-5486-1615,,福岡県,福岡市中央区大名,1-10-22,マーヴェラス大名1F,,
個室居酒屋 ゆずの小町 天神大名店,050-5486-2452,,福岡県,福岡市中央区大名,1-12-52,セパビル4F,,
個室居酒屋 ふくろうの森,092-751-1940,fukurounomori0927511940@yahoo.co.jp,福岡県,福岡市中央区大名,2-2-42,ハビタス21大名2～5F,,
たこ焼き居酒屋 粉つぶら,050-5488-6380,,福岡県,福岡市中央区今泉,2-4-39,,,
海鮮居酒屋 「はる好し庭」,050-5485-0323,,福岡県,福岡市中央区春吉,2-6-8,,,
個室居酒屋6年4組 天神分校,050-5485-5466,,福岡県,福岡市中央区大名,1-12-8,セシオ大名4F,,
個室居酒屋 かりん 天神大名店,050-5486-2454,,福岡県,福岡市中央区大名,1-12-52,セパビル5F,,
隠れ家個室居酒屋 天王 ‐てんおう‐ 福岡西中州店,050-5485-0584,,福岡県,福岡市中央区春吉,3-21-28,6F,,
完全個室 創作居酒屋 えんや 天神店,050-5488-6299,,福岡県,福岡市中央区天神,2-8-22,ウエストサイド天神5F,,
個室居酒屋 磯っこ商店‐Isokko‐ 福岡天神店,050-5485-3543,,福岡県,福岡市中央区天神,2-6-32,天神サザン通りパルスB1,,
もつ鍋楽天地 西中洲店,050-5485-4356,,福岡県,福岡市中央区春吉,3-11-14,2F,,
まる家,050-5485-2081,,福岡県,福岡市中央区西中洲,1-18,,,
御膳屋 菴離,050-5494-8425,,福岡県,福岡市博多区下川端町,2-1,博多座・西銀再開発ビルB2,,
酒場 踊るうぐいす,050-5487-4377,,福岡県,福岡市中央区今泉,1-17-22,1F,,
鉄板屋 いっちゃん,050-5494-1943,,福岡県,福岡市中央区今泉,1-12-23,西鉄今泉ビル1F,,
だるま屋,050-5487-5777,,福岡県,福岡市中央区天神,1-15-3,,,
天神ビアホール パブキリン,050-5485-4418,,福岡県,福岡市中央区天神,2-12-1,天神ビルB1F,,
個室居酒屋 ゆずの小町 天神大名店,050-5486-2452,,福岡県,福岡市中央区大名,1-12-52,セパビル4F,,
大衆博多酒店 うまいもん酒場 天神店,050-5492-7653,,福岡県,福岡市中央区天神,2-7-6,DADAビルB1,,
大衆博多酒店 うまいもん酒場 天神店,050-5492-7653,,福岡県,福岡市中央区天神,2-7-6,DADAビルB1,,
酔いどころ 優亭 中洲店,050-5492-7626,,福岡県,福岡市博多区中洲,5-2-1,Jパークビル3F,,
大名やぶれかぶれ 渡辺通り店,050-5486-2303,,福岡県,福岡市中央区渡辺通,2-9-1,,,
福岡焼鳥 鮮笑 天神店,050-5494-2715,,福岡県,福岡市中央区天神,3-2-20,名村ビル1F,,
リストランテ デルマール,050-5488-8084,,福岡県,福岡市博多区中洲,2-6-7,ジョイフルヤマモトビル1F,,
焼き鳥と創作おでん 博多とりくら 天神春吉店,050-5492-4820,,福岡県,福岡市中央区春吉３丁目,12-24-2,,,
八福神,050-5489-2529,,福岡県,福岡市中央区渡辺通,2-2-14,,,
竹乃屋 川端店,050-5485-8173,,福岡県,福岡市博多区上川端町,11-1,,,
博多かんべえ 本邸,050-5488-8372,,福岡県,福岡市博多区中洲,5-4-23,1F,,
串カツあらた 博多天神店,050-5494-2703,,福岡県,福岡市中央区大名,1-12-58,バシャージュビル1F,,
博多魚がし海の路 天神店,050-5484-2038,,福岡県,福岡市中央区天神,1-12-3,天神町木村家ビルB1,,
大名 つつじ庵,050-5486-0409,,福岡県,福岡市中央区大名,2-9-2,福岡共栄火災ビル1F・B1,,
全席個室×本格和食 膳屋 中洲店,050-5487-1074,,福岡県,福岡市博多区中洲,5-2-1,3F,,
三代目鳥メロ 天神西通り店,050-5492-3979,,福岡県,福岡市中央区大名,2-6-5,天神西通り館2F,,
博多一口餃子 たけとら,050-5487-1130,,福岡県,福岡市中央区春吉,3-26-27,,,
ガムランディー,092-716-5554,,福岡県,福岡市中央区大名,1-1-20,南風ビルB1,,
酒to和洋飯 中天神 ぬくぬく家,050-5484-3375,,福岡県,福岡市中央区天神,2-3-36,ｉｂｂフクオカ1F,,
炙り炉端 山尾 天神店,050-5484-3046,,福岡県,福岡市中央区天神,1-15-14,高木ビル2・3F,,
博多中洲 遊食亭,050-5487-2439,,福岡県,福岡市博多区中洲,4-7-21,赤玉ビル2F,,
博多魚いち いっ笑,050-5484-3190,,福岡県,福岡市中央区渡辺通,2-8-1,フェリス薬院1F,,
福岡焼鳥 鮮笑 天神店,050-5494-2715,,福岡県,福岡市中央区天神,3-2-20,名村ビル1F,,
天神ビアホール パブキリン,050-5485-4418,,福岡県,福岡市中央区天神,2-12-1,天神ビルB1F,,
天神ビアホール パブキリン,050-5485-4418,,福岡県,福岡市中央区天神,2-12-1,天神ビルB1F,,
天神 華都飯店,050-5486-3787,,福岡県,福岡市中央区天神,2,DADAビル 7F,,
